"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"1","ENSG00000000003",414.789317683384,0.494694634924515,0.17095101106441,2.89378010603358,0.00380634622102055,0.0240140566443375,"TSPAN6"
"2","ENSG00000000938",270.599213731557,0.968844980277563,0.197722950244389,4.90001276574143,9.58304284843666e-07,4.59410251575268e-05,"FGR"
"3","ENSG00000000971",953.456763852552,1.81676554074243,0.274796765271595,6.61130613727145,3.80943760094604e-11,9.78193517300398e-09,"CFH"
"4","ENSG00000001460",727.049707382234,-0.208614178928028,0.0749428230951226,-2.78364452141388,0.00537519097016026,0.0306879034687912,"STPG1"
"5","ENSG00000001461",3848.38113708941,-0.481768807403138,0.135585145296361,-3.55325656324734,0.000380493176629292,0.00444804686860198,"NIPAL3"
"6","ENSG00000001497",2186.64202609361,-0.472511515194644,0.10449543982978,-4.52183861768849,6.13047925910216e-06,0.000196491975105226,"LAS1L"
"7","ENSG00000001617",256.378242853531,0.576737819647525,0.216325664594449,2.66606285818536,0.007674534205791,0.0395043995754311,"SEMA3F"
"8","ENSG00000001626",118.918850174373,-0.977492366641577,0.280278041431132,-3.48758098083741,0.000487411293645708,0.00540653838135308,"CFTR"
"9","ENSG00000001630",120.775958178309,-0.454834021809445,0.15793622539285,-2.87985875740726,0.0039785336289573,0.0247923127673378,"CYP51A1"
"10","ENSG00000001631",1181.13345024242,0.212002759642727,0.0808343278628551,2.62268228421982,0.00872405853393766,0.0433775801576157,"KRIT1"
"11","ENSG00000002745",52.451513136818,1.15155087319541,0.251773148559905,4.57376364311309,4.79040220722715e-06,0.000160205966032118,"WNT16"
"12","ENSG00000003436",110.57915186011,1.11588386417472,0.25895489808232,4.30918230332134,1.63859258484227e-05,0.000412352777413558,"TFPI"
"13","ENSG00000003989",1286.95566942354,1.68207791757015,0.283730983090786,5.92842522605976,3.05853629172381e-09,4.37998081776346e-07,"SLC7A2"
"14","ENSG00000004139",467.750428617452,-0.279774657260647,0.0993174471035199,-2.81697390961967,0.00484784635975928,0.0285905194501115,"SARM1"
"15","ENSG00000004468",241.735381391207,-0.766759289433255,0.236343592610091,-3.24425672371927,0.0011775755996702,0.0102044371204935,"CD38"
"16","ENSG00000004776",507.874546890297,-0.637754705436301,0.191711170630614,-3.32664342582894,0.000878987718978319,0.0083170629572112,"HSPB6"
"17","ENSG00000004777",2642.67612939978,-0.430206897452804,0.119282520846097,-3.60662144295118,0.000310209708718894,0.00379826074859391,"ARHGAP33"
"18","ENSG00000004864",403.104512341245,-0.559843490247876,0.188977302621474,-2.96249064031385,0.00305161087033762,0.0203683856717486,"SLC25A13"
"19","ENSG00000004866",808.928516014073,0.27742706090456,0.0757734584881446,3.66126961128434,0.000250968483587815,0.00324083001349814,"ST7"
"20","ENSG00000004939",6.60769440680766,-1.40108269042315,0.517387474408895,-2.70799499354688,0.00676910435252051,0.0362207883198343,"SLC4A1"
"21","ENSG00000005073",2.12874603215114,5.23656629530796,0.545575918240357,9.59823577293776,8.13244508845366e-22,3.02798038793424e-18,"HOXA11"
"22","ENSG00000005194",1205.77184150378,-0.280587743700313,0.0878676857230578,-3.19329843948175,0.00140657494696213,0.0116165930924709,"CIAPIN1"
"23","ENSG00000005206",2015.45199237903,-0.354804289924014,0.10911966382584,-3.25151560666734,0.0011479147325291,0.0100330262616197,"SPPL2B"
"24","ENSG00000005238",1233.71208856417,-0.234115717180599,0.0736697905739213,-3.17790664744301,0.00148342505115167,0.0120551893934988,"FAM214B"
"25","ENSG00000005243",154.451735331114,0.701072292850585,0.185842897821702,3.77239217138765,0.000161689850162378,0.00232908792101094,"COPZ2"
"26","ENSG00000005379",6830.33375525124,-0.410869298912306,0.14523590086444,-2.82897889892804,0.0046696777718485,0.0278485321471157,"TSPOAP1"
"27","ENSG00000005812",2065.9632371105,0.321192750236907,0.0867458604256057,3.70268677561122,0.000213328199272119,0.00287613275301095,"FBXL3"
"28","ENSG00000005889",628.711613209749,0.259882071602165,0.0968148750044641,2.68431965222474,0.00726775823751032,0.0380683983648254,"ZFX"
"29","ENSG00000006071",2060.67661071484,-0.568049055295519,0.160857556267584,-3.53137936741111,0.000413398377513081,0.00475067888561843,"ABCC8"
"30","ENSG00000006128",605.79359027626,-0.776310441683508,0.303162273153469,-2.56070926506913,0.0104458731916983,0.0494618073553498,"TAC1"
"31","ENSG00000006194",1004.05006202571,0.166110371530631,0.05258637738095,3.15880993907,0.00158414764152218,0.0126077158217334,"ZNF263"
"32","ENSG00000006210",3786.48801811129,-0.418708081966489,0.150476115460731,-2.78255509643161,0.00539327071070667,0.0307564503750391,"CX3CL1"
"33","ENSG00000006283",1278.00832908567,-0.528374641364445,0.202468736125517,-2.60966039239208,0.00906321478220202,0.04468065201032,"CACNA1G"
"34","ENSG00000006432",2298.63943401855,-0.473442784729213,0.170742747772002,-2.77284271752155,0.00555689714019724,0.0314201675808672,"MAP3K9"
"35","ENSG00000006453",51.6853178982183,0.653889820810663,0.165571488365178,3.94928998505147,7.83833475505488e-05,0.00135637798937201,"BAIAP2L1"
"36","ENSG00000006606",3.67969530286877,2.75601858477792,0.696165969033134,3.95885278420834,7.53106375344932e-05,0.00131586244326162,"CCL26"
"37","ENSG00000006634",173.913912868995,0.270901057621504,0.0970638108640806,2.79095839334857,0.00525522272113252,0.0302737688473699,"DBF4"
"38","ENSG00000006652",1728.77405958105,0.494648732542984,0.107118331300035,4.61777854956952,3.87869846377041e-06,0.00013475913480658,"IFRD1"
