"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ENSG00000232849",0,0,0.400163844870585,NA,NA
"2","ENSG00000229558",5.1753687917662,-0.0549331256326358,0.198084890677072,0.591636587073979,0.752428632314282
"3","ENSG00000232977",28.1299826245077,-0.267922920442674,0.166571762741022,0.0191258669701841,0.0765994743839929
"4","ENSG00000227893",0.0175552127398607,0.00090289424707418,0.362488998239006,0.982315941510661,NA
"5","ENSG00000238230",20.2452830900804,-0.0120672720869244,0.195876384892433,0.904362298382161,0.949816842730967
"6","ENSG00000227640",259.962107767948,0.131965604656773,0.125394418099955,0.168798724668814,0.342195200968299
"7","ENSG00000260962",0.849783661835037,-0.0299920419363326,0.251712185886398,0.734970324833427,0.851601977644843
"8","ENSG00000228741",2.37404343581323,-0.0252284925020657,0.214655551626684,0.796399142224586,0.888289821623509
"9","ENSG00000247400",213.292560303033,0.129616395436615,0.102042892980338,0.124724012247941,0.282103314125646
"10","ENSG00000261498",0.312385054684054,-0.0504632251262876,0.322605898597228,0.460821299087571,NA
"11","ENSG00000243300",0.588740682811529,-0.011962735075827,0.257561363793313,0.888186007150322,0.940617767222042
"12","ENSG00000243008",7.21103455872562,-0.745987587855167,0.397674281317827,0.000561310187363373,0.00597239743796209
"13","ENSG00000272329",1.28241851925351,0.0152808780681912,0.240208017297625,0.866541156874086,0.928523065231719
"14","ENSG00000233124",0.530581219908506,-0.12867128902342,0.332638891616833,0.170041129417976,NA
"15","ENSG00000226134",1.99201852352894,0.0434915642303062,0.225722711966741,0.653847134442139,0.796018800187323
"16","ENSG00000270725",0.57518708226905,-0.0175064872234289,0.263057896413422,0.833858685540481,0.909501173468136
"17","ENSG00000269189",0.168707850318062,-0.0191133085433141,0.330426558564221,0.737231549937535,NA
"18","ENSG00000234056",65.5237391001306,0.744306174598448,0.332210097603419,0.000244763522398026,0.0031717036487076
"19","ENSG00000225105",1.34514208082187,-0.221372256606132,0.401638320008568,0.055699991586396,0.162338151004497
"20","ENSG00000260509",13.4717592591601,-0.40179038711287,0.280524532654507,0.00776043272017937,0.0398272609622805
"21","ENSG00000231983",0.187013145772334,-0.013734103767693,0.326928072060587,0.811026704605137,NA
"22","ENSG00000228889",23.1198816958828,-0.250875602831303,0.166474355728779,0.027102024148109,0.097623221455781
"23","ENSG00000234168",0.00972006692753879,-0.00166269534652509,0.362518774676777,0.967442657735034,NA
"24","ENSG00000229609",0.409706876638451,0.0221074173570138,0.290515584887905,0.762714624060319,NA
"25","ENSG00000260704",0.226069089024278,0.0769250283551042,0.347080745606615,0.281947095147891,NA
"26","ENSG00000224356",5.16806029056136,0.0987217433570488,0.210341445890337,0.351618295263042,0.550504780725795
"27","ENSG00000229599",0.033506228348376,-0.00240656184136661,0.36256500787266,0.952895280363601,NA
"28","ENSG00000224329",0.339940375128858,0.054297575793605,0.334008904203846,0.412591086283884,NA
"29","ENSG00000243319",5.01229850902189,-0.302846332114101,0.293522623144866,0.0293273735792882,0.103481654216559
"30","ENSG00000122043",0.225156795343161,-0.0188826185612025,0.300534824816129,0.783490947483088,NA
"31","ENSG00000272143",86.5059538625734,-0.069462529016817,0.143117368005271,0.489018289801798,0.673447700294178
"32","ENSG00000266505",0.0628337743016454,-0.00132800465618474,0.362503485146467,0.973992912374762,NA
"33","ENSG00000224511",2.1394036932257,-0.0317026727382353,0.221638905790311,0.743220473160066,0.856382575324731
"34","ENSG00000232117",3.5737938891995,-0.176372857675341,0.248774015100027,0.129942174750012,0.290095806561462
"35","ENSG00000272542",13.5539698956191,-0.0578844289896884,0.158039317754953,0.57295635406985,0.738049790471152
"36","ENSG00000236463",2.02651107284284,0.0791272824950552,0.246984346455425,0.419033881491237,0.611768683169967
"37","ENSG00000234551",0.0260411907527213,-0.00240656184136662,0.36256500787266,0.952895280363601,NA
"38","ENSG00000238121",33.4880209605758,0.0926511462924033,0.132670765886668,0.343958591275985,0.543310113066924
"39","ENSG00000226620",8.10678382410502,-0.0946167848351721,0.224307810055152,0.3637596718018,0.562068824737323
"40","ENSG00000225039",0.863006148373546,-0.068909601598074,0.27062002803058,0.443531179359575,0.633190241244671
"41","ENSG00000233532",52.7924314587741,-0.0668328695007178,0.15589691241501,0.51522549641867,0.693883384976675
"42","ENSG00000272274",7.14683977510711,0.38705225073105,0.317944784306771,0.0119847218613387,0.0546676760132321
"43","ENSG00000230156",16.489904684249,0.682011795085659,0.34541067232499,0.000573086671911497,0.00607918150546194
"44","ENSG00000237879",18.012157661197,-0.0876920174207241,0.187009963962179,0.406750355626448,0.600897920648907
"45","ENSG00000227248",1.29275148763585,-0.174971075026751,0.307529474891781,0.118295682088431,0.272165348903763
"46","ENSG00000236094",2.17718119263552,-0.0350368045668555,0.222380090723708,0.717634451677097,0.838798391171786
"47","ENSG00000223617",0.0978609968474548,-0.0117718052195431,0.349182471381134,0.806375667732324,NA
"48","ENSG00000230233",0.255291103229273,-0.0457729321994811,0.335593591146393,0.465702383310182,NA
"49","ENSG00000230403",1.11248706484324,0.0587518987277106,0.241517565158387,0.538361637379947,0.711277957245728
"50","ENSG00000236053",0.0362946230635277,-0.00389503767081655,0.362708237207046,0.923852381256735,NA
"51","ENSG00000229792",0.304182590324522,-0.0646447597838877,0.294588677190542,0.428407657516895,NA
"52","ENSG00000231428",0.395569226169726,-0.00500268786108486,0.283169872826867,0.94664405324863,NA
"53","ENSG00000232193",0.0162026840938035,0.000902894247074178,0.362488998239006,0.982315941510661,NA
"54","ENSG00000226204",0.0311815677036937,0.00272527769322683,0.362589987231383,0.946668113221888,NA
"55","ENSG00000235965",0.0384018838465248,-0.00389503767081655,0.362708237207046,0.923852381256735,NA
"56","ENSG00000235822",0.111152032128723,0.0124103066682688,0.354850317147923,0.785684995888237,NA
"57","ENSG00000231620",0.0188900543346918,0.00272527769322683,0.362589987231383,0.946668113221888,NA
"58","ENSG00000259831",6.46382920768295,-0.248071899350178,0.241072856311165,0.0504662547998208,0.152189002730561
