"","H_0001","H_0002","H_0003","H_0005","H_0006","H_0007","H_0008","H_0009","H_0010","H_0012","H_0013","H_0539","H_0657","H_0658","H_0681","H_0695","H_0700","H_0726","H_0740","H_0750"
"WDR46",1170,394,866,748,1236,528,463,404,897,427,1183,1381,1230,858,423,600,847,786,590,972
"CD99L2",8202,2986,5432,5651,6844,5270,4131,3085,6841,5326,9081,13128,13306,7728,4268,3507,6643,9818,6405,6920
"ACLY",1693,1539,1609,2264,1865,2260,1775,1848,2654,1603,2735,4961,4572,3129,1551,2661,2803,3396,2447,3182
"EIF4H",5434,4441,4719,6148,5478,5881,5296,4009,6837,5705,8900,10896,12726,7977,6483,7359,8322,9411,7024,10298
"ZCCHC17",2129,985,1798,1605,1919,1193,1227,1078,1880,1155,2027,3202,3239,1830,1056,1469,1916,2566,1776,2796
"PITPNA",4060,2515,2797,4143,3490,3155,3093,2436,4536,2669,5224,9792,7895,5814,2207,3836,4844,6596,4461,6019
"MRPL30",605,387,665,682,684,647,430,393,861,636,943,1479,1433,732,556,808,852,1017,824,985
"ST3GAL3",1249,447,764,1010,1221,674,872,740,969,930,1121,2077,1856,1043,644,660,1078,1247,1309,1609
"IMMT",2731,1384,1857,1974,2059,1809,1481,1336,2421,1318,2791,4012,4216,2795,1265,1930,2305,3088,2492,2835
"PNPO",246,400,257,565,454,470,301,367,752,307,642,1290,1465,698,314,706,755,708,735,707
"DHX57",706,470,567,848,617,588,358,273,795,566,1049,1201,1317,971,494,758,800,930,709,820
"PCNX2",1250,735,879,1952,1319,1419,1285,918,1772,1637,1731,4319,3577,2702,1019,915,2135,2296,1877,1747
"MECR",891,394,567,526,697,570,297,260,751,314,1033,1530,1365,560,362,522,717,863,700,786
"MRPS25",2590,1517,1894,2066,2096,1432,1478,1425,1934,1118,2153,3712,3872,2262,1671,1816,1786,2246,2366,2133
"BBS5",520,419,389,665,508,399,360,362,440,449,618,758,1022,603,309,415,560,551,455,582
"TRIM9",3684,4774,3433,6764,3636,4594,3783,4770,5754,4351,7218,10568,9894,7393,4234,4873,6785,7001,5324,7228
"NICN1",628,554,585,1101,989,829,877,667,1410,786,1086,1934,1733,1375,639,663,1251,1515,1079,1342
"MRPS5",2437,1523,3701,2106,2256,1396,2216,1672,1543,2092,1112,2461,3796,2124,2678,1469,1838,2154,2289,3104
"PPP4R3A",1461,2090,2331,2360,1571,1119,2357,1776,1352,1813,1402,1834,2484,2178,2244,2083,1911,2142,1596,3028
"HDGF",4717,3601,5270,4135,4121,2563,4839,3099,2906,3495,3597,5154,7367,4023,4375,4324,3728,4555,5116,8478
"PTPN21",427,699,469,839,446,536,740,649,450,533,607,770,1015,630,577,1218,821,639,864,1028
"EXOG",267,229,243,333,297,292,227,206,259,181,250,424,404,299,256,315,296,378,221,229
"TRIM4",422,619,658,742,408,496,690,608,434,685,720,592,804,757,593,949,638,565,721,1174
"ZMYND8",3180,2582,4073,3599,2578,1961,4011,3046,2129,4385,2045,3842,4955,5024,3774,2245,2607,4014,2402,5103
"UNC119B",1424,1286,1358,1836,1501,1075,1539,1407,1122,1128,1269,1541,1744,1704,1149,1710,1430,1682,1170,2117
"RBM17",2971,3175,4018,4062,3270,2257,3726,3022,2427,3099,2543,3870,4900,3287,3771,3968,3050,3043,3659,4932
"RELA",928,1780,2981,1800,1495,1021,2287,1453,717,1803,790,1237,2464,1131,4110,1695,1176,1339,2072,1882
"HNRNPH3",3439,5137,6777,5864,4277,3679,5280,5170,4019,5990,3639,5390,7407,5092,7023,5736,5349,6019,6681,10698
"ZNF32",3691,975,2880,1608,2340,868,1704,1070,1201,1676,1117,1586,1609,1516,1431,1049,1085,1688,1204,2866
"ZBTB34",313,660,612,881,379,444,709,658,450,710,307,489,702,732,810,835,579,745,417,797
"PSPH",381,447,830,547,660,431,629,568,505,573,235,637,836,605,469,453,506,665,637,1177
"NFKB1",370,540,729,642,448,508,626,511,376,608,466,578,773,537,858,832,677,533,571,865
"COLGALT1",1114,1592,2152,1589,1680,1063,1654,1320,880,1543,923,1310,2339,1296,2187,1784,1324,1457,1505,2651
"PPP1CC",3404,3825,5396,4918,3811,2380,4440,4014,3238,3377,3486,3679,4842,4910,4041,4728,3773,4710,3087,6791
"SNHG3",709,533,1056,674,626,454,637,320,308,599,586,481,1036,389,638,448,449,574,889,995
"ZHX3",3393,3488,3667,4740,3557,2487,4137,3865,2941,3014,2660,3941,5754,5104,2977,5648,3979,3493,4003,5355
"ZNF143",315,372,532,542,474,302,668,533,398,418,297,535,611,574,532,557,454,577,567,867
"AUP1",3865,2546,5138,3446,4740,2239,3856,1813,1833,4588,1982,3288,4960,2343,4007,2431,2171,2633,3174,5287
"ITPRIP",140,253,287,281,369,235,321,300,112,215,198,219,675,188,325,685,376,132,552,574
"HBP1",320,1075,524,1193,414,719,1190,1055,701,988,670,882,1495,999,1750,1414,1016,1103,1082,1514
"TRIM8",3672,4431,5596,5500,4966,2310,6712,4859,2463,4246,2413,4601,8181,3389,3461,4014,3469,3643,5665,6739
