"","20-1T-AD","21-1A-AD","23-2A-AD","26-3A-AD","27-5A-AD","22-2T-AD","24-3T-AD","25-5T-AD","29-6T-AD","31-7T-AD","28-8T-AD","30-9T-AD","13-11T-Old","15-13T-Old","16-14T-Old","12-6A-Old","14-7A-Old","10-8A-Old","17-9A-Old","18-10A-Old","19-11A-Old","11-10T-Old"
"IMMT",852,695,583,708,530,753,402,555,562,529,644,795,872,620,1354,914,701,1143,1225,909,575,597
"PNPO",614,438,395,434,492,469,295,337,508,486,420,648,674,591,724,619,508,669,770,597,591,619
"DHX57",463,371,314,415,222,371,215,386,334,216,310,429,456,399,579,463,397,556,601,483,386,320
"PCNX2",1876,2614,2040,1829,1687,1348,1620,1225,2082,2008,1765,2126,2574,2306,2761,2640,2081,3176,2614,2595,2464,2159
"MECR",382,308,232,281,233,304,165,241,354,297,269,361,367,382,515,326,324,459,464,405,304,352
"MRPS25",875,531,482,620,600,718,501,706,675,487,695,802,798,952,1137,697,886,901,820,836,809,814
"BBS5",230,179,162,183,157,171,123,167,232,162,166,204,209,226,307,224,244,254,232,227,229,244
"TRIM9",2709,3097,2698,2625,3094,2876,2776,3122,3133,3098,2755,3753,4133,4394,3879,3894,3929,4016,3991,3790,3751,3997
"NICN1",813,492,444,592,440,498,404,409,613,544,557,592,541,670,962,761,579,864,820,620,604,701
"MRPS5",649,601,482,655,485,588,579,591,498,643,523,612,558,465,553,498,416,480,673,544,387,618
"PPP4R3A",847,887,903,992,802,819,784,955,742,771,979,793,824,666,768,854,696,742,1042,838,727,567
"HDGF",1785,1596,1393,1638,1784,1504,1334,1714,1463,1815,1447,1303,1382,1244,1659,1239,1235,1133,1854,1293,980,1927
"PTPN21",514,742,673,609,632,705,580,659,582,635,711,533,592,596,494,427,594,498,660,637,554,507
"EXOG",433,283,286,327,252,264,319,378,283,282,344,312,301,294,293,271,232,319,255,248,235,295
"TRIM4",331,339,362,312,346,256,313,363,271,312,369,288,330,259,268,272,283,240,311,292,267,294
"ZMYND8",2179,2627,2254,2988,2257,1648,1811,2093,2649,3213,2095,2539,2034,1907,2139,2473,2012,1940,1818,2368,1685,1971
"UNC119B",786,722,952,810,952,480,723,730,662,750,718,634,641,599,711,661,655,645,637,591,636,657
"RBM17",905,885,940,1076,1021,1006,996,1053,832,1037,1102,811,1036,723,873,776,852,743,1177,878,722,661
"RELA",523,682,531,658,644,702,615,775,707,847,719,599,796,559,584,518,543,395,805,457,489,621
"HNRNPH3",1097,1540,1291,1341,1367,1563,1294,1428,1330,1256,1123,1267,1073,931,699,1543,1105,1053,1686,1219,1094,947
"ZNF32",276,205,228,312,199,218,146,288,202,200,276,168,206,150,227,218,127,214,241,235,137,181
"ZBTB34",396,409,426,445,460,403,459,504,383,360,473,426,341,322,356,400,375,381,426,406,278,363
"PSPH",217,227,218,232,201,159,175,233,170,235,206,191,147,174,163,238,128,157,183,169,141,218
"NFKB1",461,397,432,484,362,528,388,637,413,448,524,406,451,353,400,417,319,297,528,383,328,363
"COLGALT1",855,748,619,684,654,751,605,901,628,1006,931,810,856,562,794,563,501,453,851,530,514,752
"PPP1CC",844,1104,885,611,759,702,551,691,529,718,707,696,693,447,537,771,489,786,897,541,518,354
"SNHG3",187,180,150,143,161,131,154,186,123,150,170,210,188,114,141,134,140,104,130,92,113,154
"ZHX3",3325,2985,4666,4424,4259,3340,3840,3369,3483,3613,4180,2844,3212,3286,3498,2635,3323,2814,2297,3297,3183,2326
"ZNF143",159,198,243,325,183,255,219,235,158,180,232,177,215,135,114,201,145,196,245,200,140,154
"AUP1",463,649,562,590,515,583,565,505,454,859,683,563,562,512,428,489,385,470,609,434,409,427
"ITPRIP",272,271,404,260,303,428,246,343,278,282,289,262,350,216,260,204,195,124,313,217,277,298
"HBP1",365,454,526,391,449,633,451,616,422,393,519,439,366,326,279,503,354,368,506,419,374,307
"TRIM8",2554,2465,2663,2796,3485,2145,2705,2051,2524,3830,2451,2351,2528,2372,2599,1856,1865,1854,2345,1824,1826,2457
"TAF3",515,454,464,652,429,410,484,636,472,544,409,428,396,345,458,453,374,335,379,438,338,414
"UBXN2A",164,231,247,220,194,202,205,264,200,139,190,179,180,163,110,188,145,171,199,160,154,154
"IRF2BP2",1431,1765,1626,1616,2299,2762,1774,2135,1392,2026,1969,1732,1441,1247,1379,1955,1264,1277,2058,1512,1240,1702
"MOB3C",285,229,297,241,293,259,344,311,246,322,306,227,344,216,207,180,206,164,239,197,216,268
"PNPT1",412,412,390,537,248,471,349,457,374,273,488,394,397,287,248,346,330,278,449,366,293,184
"SIRT1",409,377,397,343,409,418,363,577,346,358,421,390,319,316,296,355,286,358,419,358,281,212
"CTBP2",588,793,629,633,794,637,908,621,658,850,740,586,586,556,548,693,472,455,553,572,568,593
"RAB29",399,428,438,378,429,405,304,266,264,472,309,359,434,238,261,279,255,191,471,251,281,295
"FOXN3",1359,1562,1685,1484,2084,1210,1899,1312,1136,1840,1579,1212,1250,1224,1186,1278,1131,1240,1287,1304,1236,1001
"STK38",366,475,470,406,439,288,425,361,333,344,415,393,387,297,243,318,348,265,344,281,368,230
"HP1BP3",2707,2918,3027,3163,3117,2778,2502,3858,3091,2805,3383,2452,2337,2073,2523,2731,1915,2450,2849,2451,1967,2312
"FANCE",91,43,64,61,64,87,78,95,56,67,81,67,63,53,70,41,52,44,71,43,60,63
"PPM1D",364,233,218,327,265,298,373,348,252,244,374,271,200,217,261,276,175,195,293,214,191,322
