"","20-1T-AD","21-1A-AD","23-2A-AD","26-3A-AD","27-5A-AD","22-2T-AD","24-3T-AD","25-5T-AD","29-6T-AD","31-7T-AD","28-8T-AD","30-9T-AD","13-11T-Old","15-13T-Old","16-14T-Old","12-6A-Old","14-7A-Old","10-8A-Old","17-9A-Old","18-10A-Old","19-11A-Old","11-10T-Old"
"TLR5",122,143,108,34,74,132,26,71,43,62,103,84,107,41,44,56,30,39,103,49,44,25
"TRIP10",300,205,242,304,335,183,261,207,213,280,267,151,279,91,147,79,114,72,258,101,175,280
"CPQ",232,300,437,415,240,576,273,487,311,229,523,231,277,237,167,221,209,199,337,295,231,101
"JMJD6",777,1001,697,762,1313,510,962,1048,820,1418,832,836,415,413,501,1054,331,412,605,422,360,1365
"SAMHD1",657,905,654,736,669,483,635,1731,1014,711,868,805,748,344,533,880,418,419,736,602,369,258
"ATOH8",312,446,432,362,445,292,426,714,419,470,390,263,243,188,271,307,312,119,246,275,173,479
"SPDYA",21,27,23,26,27,12,27,24,9,30,19,23,12,15,21,23,8,13,10,10,13,13
"RGCC",643,855,1027,750,895,1255,866,897,819,803,999,532,432,444,607,794,730,394,609,535,451,321
"GYS2",18,32,16,20,33,13,15,22,18,27,12,30,12,12,4,22,8,8,14,15,12,22
"DNA2",190,240,196,300,156,101,238,193,145,191,217,151,145,114,98,151,114,96,126,133,125,72
"PRRG4",36,29,30,33,25,13,20,34,19,18,49,9,18,5,16,13,6,16,25,20,18,23
"RAMP2-AS1",52,92,81,65,71,49,54,95,45,93,50,57,62,33,30,47,28,38,39,43,40,44
"AJUBA",36,40,60,55,88,26,62,60,66,53,56,37,42,54,30,20,30,24,21,28,30,37
"CCDC160",15,19,26,17,29,23,21,13,13,12,14,16,13,13,9,8,17,9,9,17,9,3
"SLC25A48",237,69,104,161,168,185,112,127,241,162,147,143,150,133,78,58,111,57,142,49,65,59
"SPACA6P-AS",45,37,41,56,75,23,62,46,51,101,60,64,34,45,27,35,34,21,24,22,29,48
"RCC1",154,187,158,162,197,78,164,158,111,301,144,153,97,76,90,139,64,60,131,70,54,178
"CCDC102A",57,71,93,54,103,27,51,61,66,142,68,48,35,42,35,44,45,21,48,28,41,65
"C21orf62",62,88,71,100,48,150,78,143,65,95,129,73,52,48,35,53,55,32,66,92,53,38
"CCDC151",75,154,122,122,194,49,122,54,99,327,74,75,64,82,58,68,68,46,60,40,96,105
"DDIT4",1368,1773,1471,1549,3399,1307,3141,1558,1919,2487,1735,2156,1803,871,692,1512,747,678,2417,1287,656,1016
"ITGA10",133,150,254,208,176,84,251,161,135,277,206,132,144,96,78,65,129,47,46,67,139,183
"ANKRD37",65,88,36,57,182,58,172,60,51,175,56,111,68,65,29,69,29,42,108,35,25,64
"COL8A2",154,55,66,66,72,138,224,121,44,99,179,71,102,63,56,43,43,29,110,65,53,44
"REP15",26,30,40,39,46,12,21,20,33,50,17,34,13,25,3,32,11,8,14,11,26,22
