"","20-1T-AD","21-1A-AD","23-2A-AD","26-3A-AD","27-5A-AD","22-2T-AD","24-3T-AD","25-5T-AD","29-6T-AD","31-7T-AD","28-8T-AD","30-9T-AD"
"STK38",366,475,470,406,439,288,425,361,333,344,415,393
"HP1BP3",2707,2918,3027,3163,3117,2778,2502,3858,3091,2805,3383,2452
"FANCE",91,43,64,61,64,87,78,95,56,67,81,67
"PPM1D",364,233,218,327,265,298,373,348,252,244,374,271
"CCDC69",212,302,293,192,274,140,192,138,137,264,308,204
"SYS1",347,406,403,393,369,448,303,381,306,490,424,371
"CAPN2",2238,1923,2108,2276,2865,1978,1960,1643,1824,2462,2037,1723
"FCHSD2",902,1013,1219,1525,1113,1562,1470,1879,1350,892,1988,1057
"RHOQ",521,618,866,552,742,742,408,369,364,638,560,451
"ATF4",1823,1810,1255,1478,1549,1182,1150,1587,1362,2437,1480,1062
"LRP4",4292,5414,7594,6384,7426,3952,4647,5644,5011,7847,7301,4657
"PXDC1",322,396,318,308,571,379,334,418,335,433,408,246
"MXI1",921,1381,1665,1466,1650,1527,1402,1718,1355,1100,1524,1155
"PAPOLA",1295,2916,2147,1645,2253,1513,1663,1663,1254,2128,1566,1736
"GKAP1",202,266,240,232,249,207,287,258,211,204,213,174
"PDE4DIP",4494,3147,3030,4427,3950,2401,3496,2604,3274,4825,3278,3118
"SMAD4",1269,1711,1700,1353,1319,1088,1186,964,957,1184,1207,1516
"TSC22D3",1495,2120,1896,1568,1169,1184,1423,1163,1312,1634,1354,1262
"ID3",507,692,586,692,740,609,625,627,371,426,691,658
"LATS2",158,201,286,252,384,319,325,262,207,239,253,220
"CARD8",324,373,426,257,365,346,310,501,304,321,331,310
"BANP",362,383,273,312,486,252,420,346,346,611,414,470
"TIMELESS",165,108,137,231,111,171,146,180,160,147,190,130
"SH2D4A",59,93,104,81,110,55,69,93,67,82,94,61
"CALML4",112,170,181,149,122,136,189,130,119,153,165,183
"ITGB8",2402,5322,4926,3702,4914,4444,3486,3767,3430,3244,3551,2987
"CDK2AP1",834,942,1152,1080,1240,990,1004,950,826,924,939,718
"RBM48",360,373,446,414,270,264,304,303,256,313,373,260
