"","P_0003","P_0006","P_0013","P_0014","P_0015","P_0016","P_0018","P_0019","P_0020","P_0021","P_0022","P_0023","P_0026","P_0027","P_0028","P_0029","P_0030","P_0031","P_0033","P_0012","P_0034","P_0063","P_0126","P_0130","P_0132","P_0133","P_0134","P_0135","P_0136"
"ANXA6",7021,3417,9455,4666,2636,18864,6973,4174,8251,880,3438,9405,3891,15156,4543,3971,5699,6156,331,11682,6250,5557,3138,5242,3229,6149,17451,3035,3096
"NRSN2",3650,1975,5320,3713,2793,10171,5687,3230,4921,762,2583,4939,2763,7945,3343,2879,3976,4597,171,5929,5441,4861,2814,4559,3441,4367,10030,2841,3179
"CALM3",46037,20381,58221,34056,17052,94836,40600,25628,52268,4603,19366,46280,19666,86925,24530,21731,35589,42571,2067,65923,32769,34425,14167,27947,15933,39720,101788,18092,14636
"PNPLA3",13,18,75,26,7,103,10,82,42,15,33,34,21,27,23,17,26,35,5,22,5,18,16,13,8,10,55,4,15
"ZNF596",66,62,200,132,68,336,157,201,206,74,93,157,90,251,86,105,107,74,15,228,164,259,97,226,166,155,379,85,258
"GPRASP1",2758,1535,6666,3422,1225,11725,3846,3600,6124,732,1619,5836,1890,8701,2164,1786,3786,3984,275,8891,3667,5392,1279,4016,1970,5521,15088,1702,2000
"RNF165",717,376,1058,639,359,1340,1003,714,952,45,341,762,389,1969,471,398,645,845,22,1321,831,1105,384,666,454,905,1967,471,372
"EXOC3L1",32,22,71,45,35,163,63,72,85,5,37,119,45,95,50,46,66,79,5,76,43,53,19,57,41,69,149,24,44
"RELL2",513,264,883,460,362,1790,637,432,705,69,300,885,349,1345,429,381,450,334,16,1087,628,558,265,422,389,428,1702,301,177
"NCR3LG1",43,87,196,155,33,469,66,192,215,8,67,162,66,472,117,101,157,90,2,182,79,115,15,76,33,80,330,64,112
"CCDC113",276,132,629,390,181,1056,364,464,555,101,283,506,201,820,345,288,373,467,26,778,527,648,194,441,268,507,1573,292,406
"CHRNB2",1183,586,1994,999,634,3696,1474,729,1643,20,490,1520,562,3304,724,653,1110,989,16,2090,1064,1328,453,781,579,1107,3227,467,391
"GABARAPL1",6208,4088,11674,7636,3220,20436,7659,6286,10428,2059,4324,14340,4482,19543,5261,4469,7882,10504,518,17018,9382,10395,4012,8314,4913,9659,26208,4798,4525
"TECTA",84,81,228,120,87,273,186,191,175,45,92,162,83,327,87,65,141,104,22,159,134,180,93,212,104,176,286,81,127
"CYP2E1",399,133,634,307,257,761,678,360,502,82,304,564,279,778,374,245,450,442,30,565,614,543,263,556,490,540,1002,228,235
"SLC45A1",534,399,763,538,372,1347,740,437,688,195,329,702,374,1237,426,430,603,566,55,999,761,591,376,597,573,623,1428,426,336
"FAM131A",2973,1642,4605,3035,1821,8137,3648,2858,3940,841,1864,4048,1962,7369,2215,1997,3075,3028,230,5891,3650,3838,1953,3054,2211,3986,8554,2116,1951
"TMEM241",243,147,365,271,117,673,306,202,332,53,113,316,146,599,134,153,234,270,17,418,267,287,107,245,130,313,580,117,152
"COPS7A",2724,1399,3696,2161,1394,6510,3117,2286,3283,1061,1690,3653,1549,5537,1874,1526,2663,2291,253,4504,2477,2910,1984,2452,2000,3169,6854,1581,1640
"PPME1",2628,1644,3576,2529,1615,5956,3517,2463,3305,1120,1594,3461,1725,5126,2004,1725,2636,2326,291,4103,3018,3004,1880,2578,2093,3543,6145,1915,1559
"GSS",728,267,1245,713,462,2017,874,806,1085,514,604,1277,482,1403,525,529,774,846,83,1228,864,1015,385,1073,842,789,1924,524,725
"NRIP3",1196,890,1918,828,558,2988,1273,911,1744,51,412,1668,526,1852,733,627,907,967,13,2172,1373,1573,449,1108,688,1443,4194,534,430
"NRXN3",1926,1271,2677,1425,978,4690,2220,2181,2115,493,851,1998,734,4265,938,1033,1576,1916,60,4266,3121,4212,982,2005,1895,3502,7509,1308,1156
"EFR3B",2460,2091,3008,3095,1725,6662,3101,2986,3017,1536,3396,3501,2182,6302,2335,1923,2376,2409,371,3285,3101,3316,1886,2156,1590,3512,6162,2687,2329
"SPCS1",1100,738,1723,1260,786,2873,1677,1463,1633,740,1107,2098,900,2423,953,878,1360,1423,222,2357,1993,2741,1439,2215,1662,2407,3841,1193,1596
"ACP2",726,237,1265,678,397,1882,948,779,1059,272,571,1154,493,1716,622,546,765,756,48,1285,724,715,324,927,731,601,1926,412,633
"TMEM169",117,88,241,182,99,385,208,168,224,45,64,130,116,292,129,116,153,94,13,355,347,298,102,229,212,216,517,120,152
"RASGRF1",1918,1307,3407,2471,1578,7960,2911,2152,3135,1353,1129,3735,1212,5886,1905,1641,2128,2175,399,4146,3111,3689,1259,1929,1757,2940,8288,1354,1199
"NAPA",2171,1824,4014,2526,1575,7786,3169,2294,3817,1186,1568,3870,1723,6253,2120,1815,2881,2735,327,4359,2606,2611,1324,2549,1565,2667,6468,1591,1685
"NIPSNAP1",1485,768,2253,1300,807,3651,1560,1247,2043,393,1008,1904,888,2938,957,859,1373,1469,81,2723,1522,2059,888,1751,1072,1623,4233,1099,1091
"CES2",553,497,1159,797,535,1994,999,1008,1207,584,738,1774,786,1832,720,721,844,1079,132,1308,843,1140,618,1101,957,1177,2338,572,824
"FBXO16",119,35,169,92,51,311,140,105,141,6,60,184,76,271,92,68,109,131,3,295,222,253,67,106,95,196,475,93,102
"MED29",1545,1020,2635,2165,1395,4454,2721,2724,2862,1028,1994,2845,1722,3811,2100,1692,2328,2647,361,3179,2647,3360,1791,3805,2091,3206,5558,2011,3280
"BDH1",1472,876,2020,1410,820,3749,1981,1551,2272,344,1070,1988,1073,3064,1289,1109,1543,1270,122,2370,1803,1746,953,1734,1494,1734,3153,1005,1132
"EML6",466,424,751,610,358,1489,901,752,866,132,499,739,398,1393,430,413,580,545,37,969,1139,929,363,684,436,959,1654,451,485
"RNFT2",835,572,1129,669,497,1739,1043,637,865,223,449,809,456,1378,514,426,725,710,57,949,945,784,434,622,548,1023,1284,588,362
"PSMB2",1435,1108,2359,1825,1159,3362,2157,1611,2199,1122,1297,2482,1203,2930,1316,1199,1731,1587,252,2925,2657,2481,1701,2364,2131,2617,4724,1571,1685
"DDB1",2909,2991,6214,5235,2714,9952,4399,4620,6132,2930,3936,7228,3343,9457,3610,3284,4947,5563,798,6727,5027,4871,3228,6096,3312,5011,11117,3778,4923
"COG1",1121,807,2624,1310,823,3665,1942,1618,2174,455,947,2292,935,3431,1151,911,1450,1746,131,2561,1499,1650,770,1890,1043,1742,3873,940,1242
"HGSNAT",954,584,2177,2008,1124,3623,1795,1803,2310,1033,1297,2926,1053,2893,1278,1199,1599,1803,209,1708,2051,2088,585,2296,1416,1368,3468,1195,1734
"NEU3",245,222,622,407,230,1124,454,318,588,210,250,489,251,855,297,265,374,348,81,651,491,617,226,532,306,526,1078,451,471
"CHP1",2016,1478,3053,2197,1103,4979,2089,2139,2593,1537,1682,3214,1353,4268,1477,1312,1947,2253,381,3203,2484,2603,1627,1980,1925,2885,5407,1687,1540
"LETMD1",1458,790,2017,1458,880,3098,1945,1324,2084,656,1207,2352,1143,2576,1258,1152,1641,1992,163,2392,2428,2205,866,2234,1510,2222,3859,1140,1380
"FBXO9",1151,1021,2225,1460,912,3991,1810,1718,1887,884,992,2346,1045,4326,1149,1019,1611,1102,161,3795,2691,3223,1328,1929,1832,2408,6936,1191,1609
"WDR46",629,424,916,575,422,1578,766,750,914,411,419,1156,483,1483,585,450,636,586,73,1084,698,613,684,593,628,794,1580,466,499
"CD99L2",5961,3796,9580,5479,3145,15132,5905,4693,8716,2577,3792,7032,3905,12990,5337,4509,6155,7311,1133,9560,7739,5788,3652,6847,4678,6293,16271,4130,4759
"ACLY",1152,1369,2484,2013,1103,4625,1965,2128,2605,1844,1877,3255,1407,4073,1653,1432,1990,2127,268,3007,2549,2632,1593,2733,1908,2946,5289,1793,1988
"EIF4H",3896,4248,6856,5369,2955,9973,5685,4900,7071,4202,4206,7775,3936,10136,4503,3886,5226,5849,1243,9119,6829,7326,5308,8181,5054,8628,14964,5508,6030
"ZCCHC17",1462,915,1865,1263,920,2652,1942,1149,1594,687,1014,1697,1042,2282,967,786,1389,1361,175,2051,1778,2151,1283,1911,1378,2415,3387,1279,1208
"PITPNA",2965,2540,4594,3369,1808,8106,3608,3072,4131,1413,3057,4671,2659,7223,2977,2542,3276,3658,381,5360,4493,3903,2469,3681,2306,4272,9171,3014,3434
"MRPL30",432,275,764,546,271,1164,563,507,708,335,382,718,330,929,346,305,544,548,94,1047,693,769,404,685,517,945,1794,527,539
"ST3GAL3",1041,581,1224,882,666,2023,1391,729,1108,249,624,1208,737,1874,822,724,884,1160,74,1274,1074,1215,634,975,783,1277,1882,654,666
"IMMT",1271,913,2295,1729,826,3702,1719,1407,1997,917,1291,2221,1002,3219,1335,1128,1580,1430,231,3020,2465,2240,1475,2338,1618,2271,4757,1410,1499
"PNPO",370,407,861,455,252,1192,581,443,821,248,498,764,421,1110,374,353,545,439,43,829,582,618,380,492,272,609,1293,298,467
"DHX57",389,247,697,500,293,1154,651,489,659,240,400,676,355,956,414,401,478,465,45,918,764,771,336,692,628,659,1398,462,673
"PCNX2",1903,1164,2190,1512,1193,3810,2270,1420,2077,290,1139,2057,1140,3649,1395,1353,1594,1974,124,2252,1992,1589,744,1462,1159,1750,3521,1143,1221
"MECR",612,292,857,412,318,1445,662,521,724,193,438,752,343,1204,470,386,585,633,61,1107,640,755,463,707,596,699,1600,349,416
"MRPS25",1270,1085,1855,1527,1135,3172,2292,1476,2053,813,1291,2208,1248,2989,1316,1101,1702,1548,249,2385,2615,2176,1822,1930,1971,2676,3672,1453,1736
"BBS5",497,319,633,539,440,1050,744,547,785,211,397,730,420,958,459,394,547,466,62,671,639,661,414,744,429,755,1095,441,513
"TRIM9",2491,3013,4857,4293,2381,8873,5347,5284,5386,1007,2989,4518,3205,8409,3218,2793,4449,3666,322,7027,6927,8321,3047,6089,3347,7319,11371,3566,4371
"NICN1",858,546,1261,955,640,2140,937,699,1317,446,561,1040,637,1896,689,549,934,843,84,1633,1264,1138,553,965,721,1087,2479,708,784
"MRPS5",1502,1796,1579,1909,1609,2541,2264,1131,1852,2050,1383,1789,1426,1979,1545,1332,1578,1493,592,1890,2491,1985,2931,1986,2147,3058,2593,2493,1615
"PPP4R3A",811,1535,1011,1378,1014,1510,1542,1056,1099,1421,1193,1636,1139,1496,1069,999,1035,897,302,1395,2698,2146,2261,1735,1716,2727,2214,2234,1525
"HDGF",3019,4436,2772,3894,2965,4697,4724,2678,3489,3825,3694,5046,3649,4413,3636,3027,3362,2931,1102,3524,5608,4419,6791,4626,4718,6386,5117,5118,3955
"PTPN21",269,489,402,619,397,575,617,515,455,527,749,888,565,646,482,441,505,492,97,557,849,703,581,833,477,840,833,945,1118
"EXOG",175,140,256,216,136,441,275,279,258,209,198,273,147,393,191,150,221,117,49,324,326,331,165,418,279,258,438,216,313
"TRIM4",310,643,398,548,395,601,631,403,523,385,472,919,561,647,413,365,485,462,139,515,866,750,640,602,394,1092,712,855,770
"ZMYND8",2842,4130,2272,2964,2278,3041,4713,1801,2984,1841,2079,2763,2967,4038,2517,2129,2647,1498,486,2904,5087,2665,3979,3356,2806,4800,3370,2918,2484
"UNC119B",715,1053,931,1373,814,1393,1181,826,1088,739,1246,1396,1302,1667,1087,845,1004,1075,154,1261,2151,1360,1433,1733,1127,1805,2133,1528,1940
"RBM17",1286,2540,1703,2312,1755,2670,2848,1955,1951,2727,2798,3063,2418,2673,2184,1846,1944,1727,892,2481,4148,4008,4878,3786,3810,5033,3983,4015,3273
"RELA",936,2957,1133,1784,1956,1517,2754,1438,1547,4034,1797,2460,1902,1350,1696,1254,1574,1509,899,916,1724,1427,4088,2264,2317,3129,1316,2774,1790
"HNRNPH3",2502,4429,2939,3919,3133,4311,5268,3311,3903,4753,3712,5301,4082,4137,3191,2804,3328,3055,1677,4486,6683,6758,6735,5494,5554,10729,6777,6623,4587
"ZNF32",1060,1014,889,1061,1147,1501,1435,710,981,1060,918,1137,932,1215,928,771,871,825,351,1225,2013,1292,2043,1217,1864,1820,1626,1878,874
"ZBTB34",303,456,368,566,482,580,718,435,476,484,332,431,391,537,376,348,414,290,141,484,947,738,656,502,505,883,593,643,709
"PSPH",351,530,372,507,434,627,526,335,428,425,424,362,425,507,372,329,330,341,160,459,790,673,678,556,451,903,679,725,493
"NFKB1",248,567,388,470,355,511,573,498,479,834,506,810,410,595,410,349,413,360,196,429,605,742,775,570,585,862,664,679,743
"COLGALT1",1064,1600,1296,1484,1598,1675,2392,1304,1405,2916,1704,2447,1760,1719,1388,1188,1637,1283,630,1038,1710,1236,2368,1115,2035,2510,1416,2211,1361
"PPP1CC",1579,2956,2027,2626,1692,2939,3008,1652,2080,2255,2429,2892,2481,2955,2068,1761,2040,1970,477,3067,5090,4303,4985,3753,3411,5699,4963,3897,3263
"SNHG3",386,415,329,461,387,380,748,273,409,413,377,552,384,437,357,328,348,424,112,418,910,676,743,603,613,988,745,800,518
"ZHX3",2136,2814,2968,4471,2895,4274,3800,2043,3470,2755,4459,3469,3156,4477,3115,2663,3096,2597,661,3160,5289,2929,3444,4598,3171,4034,4609,4337,4847
"ZNF143",170,362,210,393,309,379,377,298,292,406,396,524,299,382,296,248,283,315,100,333,592,457,456,524,437,580,538,513,417
"AUP1",2434,3996,2328,3068,4131,3498,4907,2239,2729,3771,3122,3489,2960,2902,2997,2288,2613,2492,1081,2490,3796,3008,6615,3321,4652,5498,2952,6002,2824
"ITPRIP",57,289,95,216,165,117,449,319,130,342,433,1054,435,276,234,209,202,267,131,127,196,313,414,552,264,553,149,486,406
"HBP1",307,804,492,821,427,727,833,369,690,843,656,1011,698,682,607,446,636,644,283,660,1022,1094,938,995,619,1527,1028,897,1074
"TRIM8",3131,5931,3113,4589,4008,4551,5712,2427,3678,3351,4887,4326,5680,4639,3638,3039,4137,3294,990,3471,5980,4407,7470,4482,4041,6896,4818,6097,4062
"TAF3",373,641,488,473,430,574,766,323,404,667,449,569,472,586,419,401,403,315,178,459,800,562,783,528,608,1037,733,724,438
"UBXN2A",234,506,321,498,351,458,485,310,390,462,431,524,375,430,391,335,323,340,84,419,794,512,592,717,568,833,774,715,768
"IRF2BP2",1325,3584,1750,2582,2315,2334,3346,2036,2156,2941,2033,3007,2243,1958,1917,1706,2061,1627,1349,2439,4276,4567,5768,4054,3499,7067,3602,4707,3156
"MOB3C",261,460,311,468,415,408,636,501,391,460,666,919,566,471,537,420,411,529,83,300,596,448,638,513,483,740,418,662,615
"PNPT1",818,1209,944,1429,1349,1342,1877,788,1267,2132,1076,1140,1089,1029,1067,911,1167,716,492,1229,2159,1680,2225,2028,2092,2521,1528,2005,1254
"SIRT1",282,736,402,648,407,561,744,471,444,873,498,829,497,624,396,381,454,409,273,539,1064,975,912,725,667,1183,879,831,586
"CTBP2",644,1057,1003,1261,908,1245,1520,852,958,854,1097,1761,1120,1239,864,802,992,944,251,1275,1867,1756,2129,1611,1352,2697,1841,2008,2026
"RAB29",461,1013,638,928,480,809,820,523,546,699,1117,1002,700,873,667,584,593,952,148,625,1319,856,1730,1133,1153,1297,1385,1237,1137
"FOXN3",728,1765,751,1332,668,1280,1340,679,826,1060,1386,1684,1343,1520,1051,957,888,883,267,1085,1626,1087,1577,1076,987,1863,1861,1501,1605
"STK38",576,904,644,938,885,961,1352,578,727,917,915,1709,907,1035,726,623,855,845,273,687,1620,1426,1383,1345,1138,2006,1077,1478,1082
"HP1BP3",2976,5438,4123,5802,4653,6271,6685,3412,5102,6460,4758,5652,4969,5978,4232,3671,4802,3569,1711,4769,6437,5916,6711,6819,4439,9254,7779,7675,6844
"FANCE",64,75,113,118,109,131,148,121,123,188,111,567,145,119,91,89,125,131,27,88,173,151,141,180,185,211,146,160,191
"PPM1D",209,456,242,417,331,370,451,318,338,772,312,420,326,406,258,247,325,191,170,371,490,472,607,446,511,607,400,548,358
"CCDC69",325,600,258,415,328,541,506,176,236,278,629,753,615,451,461,360,272,515,83,394,601,271,551,620,565,758,508,621,565
"SYS1",485,652,550,789,589,832,769,430,644,875,732,992,635,683,580,475,654,598,188,622,872,699,1079,850,850,1077,906,1022,811
"CAPN2",2394,5388,3157,5144,2483,4691,4945,3122,3368,3128,6720,5223,5429,3768,3072,2614,3609,3486,586,3031,7761,4359,6660,5096,4734,5721,5354,5044,5320
