"","P_0003","P_0006","P_0013","P_0014","P_0015","P_0016","P_0018","P_0019","P_0020","P_0021","P_0022","P_0023","P_0026","P_0027","P_0028","P_0029","P_0030","P_0031","P_0033","P_0012","P_0034","P_0063","P_0126","P_0130","P_0132","P_0133","P_0134","P_0135","P_0136"
"SLC39A11",469,981,549,857,659,509,729,355,616,1105,864,646,652,664,434,413,724,375,173,493,995,649,1515,691,1053,824,672,855,495
"NYNRIN",353,794,468,603,491,777,795,359,426,160,609,859,856,546,398,339,469,730,53,436,580,404,462,479,325,850,601,759,679
"STARD10",1394,1605,992,1421,1800,1342,2006,953,1126,1450,1122,1106,1354,1119,1260,1065,1284,867,370,1013,2068,1099,3331,1640,2067,1985,1241,1619,831
"SNRNP48",308,777,366,590,497,475,718,281,474,600,414,560,455,489,389,363,433,426,140,507,1131,719,897,524,508,1522,764,918,565
"MEX3A",51,195,45,97,72,54,113,125,52,151,111,65,139,61,57,63,62,41,24,38,124,89,157,68,97,160,71,105,54
"FZD9",210,383,97,257,217,202,272,77,72,154,293,131,357,176,195,154,141,154,27,148,343,159,407,254,378,213,162,310,114
"ANO2",19,80,59,67,69,51,181,58,89,79,204,482,173,84,101,85,110,107,31,56,92,74,131,110,114,308,74,92,209
"ITGA11",79,83,126,155,115,120,119,89,58,52,98,323,152,161,120,105,98,92,17,74,123,83,118,210,108,222,115,151,183
"RND2",1075,1099,823,1143,1080,1687,1540,963,889,1896,1183,1317,1530,1511,1298,1038,918,1233,457,1273,1754,1116,2471,1314,1798,1505,2116,1293,957
"KANK2",516,1063,580,871,857,769,1325,682,612,987,1492,6767,1778,923,1055,817,865,1312,226,562,1409,941,1681,922,1190,2442,1184,1219,1690
"NFKBIA",1131,1610,1010,1895,1369,1044,2676,2021,1481,2722,2080,6749,2112,2111,1884,1639,1988,1326,339,1403,3607,2963,4874,3877,3245,4795,1775,3974,2215
