,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
712,LINC01004,344.47347,0.632878488,0.161444569,3.920097728,8.85E-05,0.004624905
668,DNAJB6,473.434502,0.634239368,0.186520888,3.40036644,0.000672956,0.016727649
400,KCNMB3,60.38394571,0.637141482,0.196762246,3.238128731,0.001203165,0.023372703
1705,MCM8,114.7411346,0.639338045,0.198717597,3.217319727,0.001293943,0.024596183
1750,LSS,2098.111079,0.639346281,0.183074085,3.492281724,0.000478913,0.013871843
1619,HAUS5,221.2958405,0.64093881,0.172839642,3.708285913,0.000208667,0.007895601
925,BEND7,80.06019882,0.642485053,0.201529586,3.18804333,0.001432391,0.025948828
1298,C15orf52,333.0025709,0.643076639,0.223876723,2.872458688,0.004072913,0.048509769
1662,ZNF765,87.35414202,0.643276005,0.221146794,2.908819041,0.003627968,0.04552423
926,Mar-08,919.2245062,0.643306439,0.154424463,4.165832443,3.10E-05,0.002432183
1647,KPTN,140.1452217,0.643411354,0.187884228,3.424509665,0.00061591,0.015916731
1291,XRCC3,313.7635608,0.644772782,0.207331291,3.109867207,0.001871715,0.031029102
794,KIAA1958,605.0822955,0.645619169,0.146575165,4.404696857,1.06E-05,0.001210306
531,LOC100652758,40.44418568,0.647019631,0.202073821,3.201897344,0.001365256,0.025263906
1770,LRP5L,108.9067672,0.64792308,0.219298624,2.954524146,0.003131516,0.04209074
331,IRAK2,190.1089831,0.650849774,0.205166665,3.172297872,0.001512378,0.026911811
1673,RBL1,157.2853821,0.651881781,0.160925134,4.050838833,5.10E-05,0.003284943
919,ZFAND4,144.6773815,0.652066023,0.195696445,3.33202795,0.000862156,0.019104911
163,POGK,1417.683903,0.65522284,0.141376291,4.634602001,3.58E-06,0.000601473
914,RENBP,181.1129885,0.656863604,0.201886947,3.253620975,0.001139442,0.022611091
232,ARL6IP6,212.9671402,0.657660679,0.130749297,5.029936624,4.91E-07,0.00015988
697,LOC101927550,172.8410748,0.658393057,0.20008522,3.290563177,0.00099987,0.020915044
1051,WEE1,39.17432534,0.659011816,0.180803798,3.644900296,0.000267495,0.009252569
1658,ZNF577,457.5570357,0.65974709,0.198281347,3.327328057,0.000876831,0.019275443
1093,HSPB2,79.06716204,0.66267479,0.199775845,3.317091663,0.000909598,0.019718981
