"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"1","ENSG00000000005",4.51377899377159,-0.784419529688386,0.286317552299595,-2.73968369521261,0.00614983377309259,0.0209001941955172,"TNMD"
"2","ENSG00000000457",319.006200588191,-0.270307842008673,0.0703386712393832,-3.84294780162587,0.000121565331188431,0.00102268424490291,"SCYL3"
"3","ENSG00000000938",288.400542664387,1.0014848362679,0.189018415026851,5.29834532855243,1.16856803966131e-07,6.60688575495391e-06,"FGR"
"4","ENSG00000000971",741.090497218909,0.985909430755027,0.269143806125983,3.66313252735058,0.00024914954993808,0.00173969803454103,"CFH"
"5","ENSG00000001460",673.867502245402,-0.182855916561262,0.066598673370263,-2.74563902413871,0.0060393173280182,0.0206344133978378,"STPG1"
"6","ENSG00000001617",317.03684297315,1.04532621111384,0.199555610161722,5.23827022586183,1.62088614925232e-07,8.37959546636084e-06,"SEMA3F"
"7","ENSG00000001626",105.418960636015,-0.753062614165139,0.231795841639866,-3.24881848111473,0.00115885401835932,0.00565951356289606,"CFTR"
"8","ENSG00000001631",991.436012125605,-0.226855441917476,0.0595532289758329,-3.80928869548846,0.00013936715402782,0.00113251460157412,"KRIT1"
"9","ENSG00000002016",611.466275239881,0.321217767512572,0.110784810672397,2.89947480672643,0.00373788382431108,0.0142212496017639,"RAD52"
"10","ENSG00000002586",1982.08475056036,0.762275035904217,0.17905231366115,4.25727554320685,2.06933248764727e-05,0.000270974600774554,"CD99"
"11","ENSG00000002746",1589.78267858084,-0.684079932385738,0.204121735878819,-3.351333112275,0.000804234972750897,0.00426284554465412,"HECW1"
"12","ENSG00000002919",711.020206182288,0.139038115561509,0.0535570941060314,2.59607280570981,0.00942960821732203,0.029224248247604,"SNX11"
"13","ENSG00000002933",439.580634906848,0.90428990087622,0.19760598016094,4.57622740030297,4.73435918039002e-06,9.28605388735039e-05,"TMEM176A"
"14","ENSG00000003056",961.568936613854,-0.309335498300262,0.100096101428244,-3.09038507880366,0.00199897144436279,0.00866844011634434,"M6PR"
"15","ENSG00000003137",676.322855424903,-0.580122992282338,0.203485358678778,-2.85093235232771,0.00435912424350358,0.015998929124272,"CYP26B1"
"16","ENSG00000003147",1176.63230144603,-0.56525382304761,0.162487600618135,-3.47875050709883,0.00050375735479554,0.00300002288663619,"ICA1"
"17","ENSG00000003393",1689.54368574151,-0.227381472543496,0.0593513625029844,-3.83110787948739,0.000127567553631329,0.00106003608572409,"ALS2"
"18","ENSG00000003400",161.431175552252,0.532827339371917,0.136959185576126,3.89040966570115,0.000100075127333728,0.000887998054678071,"CASP10"
"19","ENSG00000003436",96.9333943180942,0.658035355936966,0.244442692174686,2.6919821168829,0.00710287538157572,0.023321998090618,"TFPI"
"20","ENSG00000003987",751.662276037189,-0.7664762521018,0.136395359671131,-5.6195185375066,1.91490333385041e-08,2.04819192551201e-06,"MTMR7"
"21","ENSG00000003989",1054.57882519033,0.955267077451133,0.232716278921973,4.10485713279827,4.04564826446956e-05,0.000448179391665447,"SLC7A2"
"22","ENSG00000004478",5424.32989625141,0.814840453211111,0.154958812003331,5.25843250007361,1.45288495176361e-07,7.78925702657856e-06,"FKBP4"
"23","ENSG00000004534",4435.2896692776,0.478070040442861,0.106934840811301,4.47066678002983,7.79761088152464e-06,0.000134372638944877,"RBM6"
"24","ENSG00000004766",1239.80710414633,-0.504219026438773,0.100914390154425,-4.99650273531048,5.83793477171146e-07,2.11265129496951e-05,"VPS50"
"25","ENSG00000004779",1773.97589583909,-0.240935001646125,0.100581396498467,-2.39542311037408,0.0166011957332428,0.0456280712602405,"NDUFAB1"
"26","ENSG00000004799",2108.86666734856,0.622187960093044,0.245939931854336,2.52983708420945,0.0114115499708099,0.0339376776491158,"PDK4"
"27","ENSG00000004838",105.930689881248,0.775882713561764,0.1329528108528,5.83577517906553,5.35410506097238e-09,8.24494207013428e-07,"ZMYND10"
"28","ENSG00000004866",756.502663931832,0.192388313884092,0.0778041058178188,2.47272700922206,0.0134086524360044,0.0386540188984285,"ST7"
"29","ENSG00000004897",1775.00124432502,-0.386586367196277,0.0786711989532827,-4.91395036989132,8.9259353956568e-07,2.89266918277457e-05,"CDC27"
"30","ENSG00000004961",476.747094726208,-0.290401586526691,0.0997479699256569,-2.91135335128253,0.00359866792172927,0.0137857933282476,"HCCS"
"31","ENSG00000004975",1005.24684226758,0.39753450186737,0.0985040649288217,4.03571672046859,5.44358647806385e-05,0.000556797190399754,"DVL2"
"32","ENSG00000005007",3160.48385545353,0.236774640935024,0.0800917412296979,2.95629283743463,0.00311361316940399,0.0122520939154669,"UPF1"
"33","ENSG00000005020",876.530107877989,-0.424446250804558,0.116037749411485,-3.65782905095319,0.000254360598959347,0.00176677277197835,"SKAP2"
"34","ENSG00000005022",3600.56267885422,-0.294098163737772,0.0824646153391716,-3.5663558549102,0.000361979765219333,0.00230827214161744,"SLC25A5"
"35","ENSG00000005075",811.615736319794,0.436677923663334,0.0955629544395249,4.56953142799364,4.88815863824819e-06,9.49343367730616e-05,"POLR2J"
"36","ENSG00000005100",766.177756041259,-0.219816784559976,0.059341024703273,-3.70429708046232,0.000211977715903372,0.00154038559083331,"DHX33"
"37","ENSG00000005108",312.458758601029,-0.642501533876731,0.160200282549524,-4.01061423645185,6.0560989803756e-05,0.000605972705810577,"THSD7A"
"38","ENSG00000005175",700.809386348028,-0.342847941044002,0.0798566015234215,-4.29329491242432,1.76040924718286e-05,0.00023979777907203,"RPAP3"
