"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ENSG00000232849",0.0131448805783119,0.00416833961766609,0.346011890330734,0.917125342543069,NA
"2","ENSG00000229558",5.12470897978914,-0.0437027361620823,0.207707192580534,0.767242320246487,0.841868232396509
"3","ENSG00000232977",26.0172460507071,-0.17730374793195,0.137373529745427,0.137361490507232,0.239233981181
"4","ENSG00000227893",0,0,0.351297955622307,NA,NA
"5","ENSG00000238230",19.5692655209029,-0.0585357565243852,0.214543421717251,0.693866708211633,0.786280874453274
"6","ENSG00000227640",255.73968833845,0.263713860016185,0.123644289223723,0.0168988730911673,0.0462530229961573
"7","ENSG00000260962",0.559798086370605,-0.181500329097306,0.314522239502189,0.173178297848803,NA
"8","ENSG00000228741",2.3777211945884,0.0386633310813794,0.271652856700863,0.782388155927358,0.852712969305683
"9","ENSG00000247400",179.980860735247,-0.160706587655853,0.0837450484151615,0.0427547495257822,0.0956355080306284
"10","ENSG00000261498",0.33857343021127,-0.0399397787176329,0.32204242321186,0.680541905293607,NA
"11","ENSG00000243300",0.446541425327211,-0.200044150700732,0.320179836597098,0.135071641079485,NA
"12","ENSG00000243008",6.0282602282811,-0.626228103628892,0.295860049861429,0.000912504038372611,0.00470064061332965
"13","ENSG00000272329",1.13496191477945,-0.105204943315264,0.277888951374706,0.457108054999083,0.588473093691159
"14","ENSG00000233124",0.378777331913522,-0.167359683320659,0.335811163745214,0.139079997531358,NA
"15","ENSG00000226134",1.62021047359355,-0.164004645015544,0.263511022106152,0.277102533815858,0.407830767758674
"16","ENSG00000270725",0.470791389280152,-0.140481535177387,0.307374241741319,0.278850961405841,NA
"17","ENSG00000269189",0.240770833672558,0.01744768256451,0.326234682259881,0.84342281971298,NA
"18","ENSG00000234056",65.6121500532465,0.689920950231309,0.262170095865742,0.000179419216089579,0.00136884379443185
"19","ENSG00000225105",1.43785963716586,0.0452304603244766,0.278357938695401,0.741306510748208,0.822482720258566
"20","ENSG00000260509",12.4743486994038,-0.381788367592789,0.196071778237803,0.0109398853460526,0.0328226793586901
"21","ENSG00000231983",0.20890686576145,-0.00840259601432673,0.327894226735215,0.921286937454051,NA
"22","ENSG00000228889",21.6371272168444,-0.320260513578134,0.148165771783936,0.0110831781660588,0.0331571856020947
"23","ENSG00000234168",0.0525718690606897,0.0059570739909789,0.346041186335737,0.881790559702065,NA
