,AD,,PD,,HD,
,lfc,p-adjusted,lfc,q,lfc,q
GABARAPL1,-0.660525548,0.03527161,-0.538961469,0.000895688,-0.387515893,0.030614836
TECTA,-0.659837955,0.000206478,-0.495509894,6.03E-06,-0.546319828,9.95E-07
CYP2E1,-0.638154894,0.002685737,-0.33011375,0.016196393,-0.409896681,0.005035213
SLC45A1,-0.627502636,0.005292362,-0.253691788,0.023492726,-0.380892526,0.004963416
FAM131A,-0.622095316,0.033618107,-0.419805006,0.003539285,-0.422554687,0.008049433
TMEM241,-0.613161935,0.024752827,-0.401900649,0.010542005,-0.421161031,0.010292612
COPS7A,-0.610655039,0.001589916,-0.325828524,0.003806459,-0.377524581,0.000830979
PPME1,-0.598454077,0.015532838,-0.259973934,0.007317193,-0.261182341,0.02044034
GSS,-0.596090395,0.003576179,-0.288109148,0.00345359,-0.377215602,0.000333933
NRIP3,-0.593120645,0.036012371,-0.728067641,0.00116,-0.564166633,0.015332878
NRXN3,-0.58934497,0.006419853,-0.917359673,4.42E-06,-0.497437846,0.028359422
EFR3B,-0.569526524,0.001309161,-0.286599924,0.015152713,-0.508439312,0.00010131
SPCS1,-0.566340327,0.014861135,-0.320986565,7.84E-05,-0.23178443,0.010677324
ACP2,-0.558634549,0.006467986,-0.322931958,0.011097436,-0.497175981,3.27E-05
TMEM169,-0.539300966,0.006228717,-0.507694165,0.000331,-0.42807771,0.008495026
RASGRF1,-0.535636071,0.035682223,-0.760425235,5.80E-06,-0.520569392,0.012540385
NAPA,-0.532041214,0.013557951,-0.290478056,0.028699399,-0.457561268,0.000876014
NIPSNAP1,-0.526615181,0.004960927,-0.457494055,0.000423218,-0.369781381,0.006221204
CES2,-0.526612363,0.007246547,-0.417958626,4.81E-05,-0.356245254,0.003948773
FBXO16,-0.524709008,0.041469466,-0.703544512,0.000231781,-0.485901782,0.012029264
MED29,-0.522698353,0.000206478,-0.256249667,0.000241703,-0.258455225,0.004692389
BDH1,-0.522504424,0.003162926,-0.297419141,0.019810603,-0.389340299,0.002674137
EML6,-0.505005577,0.00643105,-0.448920932,0.000843896,-0.304226441,0.029553247
RNFT2,-0.480535035,0.007041647,-0.254537766,0.032497267,-0.475244758,0.000100731
PSMB2,-0.47038342,0.020654744,-0.261440862,2.91E-05,-0.193494661,0.011249656
DDB1,-0.449768706,0.003443556,-0.235787666,0.00866844,-0.237588105,0.014564792
COG1,-0.444175358,0.002112614,-0.401899918,0.000940036,-0.304174181,0.017908577
HGSNAT,-0.443861007,0.037612415,-0.260907434,0.0134875,-0.36453486,0.000631711
NEU3,-0.442520184,0.022410939,-0.434045965,1.92E-05,-0.400074325,0.000120793
CHP1,-0.437610904,0.006442266,-0.356314764,0.000500433,-0.392755781,0.00124432
LETMD1,-0.437467479,0.015192028,-0.240296042,0.001803667,-0.215798103,0.002857351
FBXO9,-0.42442299,0.00809577,-0.649938602,1.19E-05,-0.370188682,0.039510368
WDR46,-0.412645049,0.021933767,-0.202818513,0.038216452,-0.243886868,0.044273176
CD99L2,-0.405234428,0.049075396,-0.252622518,0.040374382,-0.407505953,0.002508564
ACLY,-0.403616662,0.029544902,-0.325945521,0.000731721,-0.363317763,0.00125626
EIF4H,-0.40133932,0.012631251,-0.247277296,0.000135934,-0.24961858,0.000963994
ZCCHC17,-0.385310466,0.016642673,-0.274337133,0.001354941,-0.213573847,0.048823601
PITPNA,-0.380083985,0.004263378,-0.309948961,0.003508469,-0.256073167,0.047697424
MRPL30,-0.363955091,0.030139243,-0.421760053,1.12E-05,-0.261489064,0.013040668
ST3GAL3,-0.35714746,0.015695397,-0.226361767,0.046814899,-0.291677573,0.012577333
IMMT,-0.353658441,0.042297992,-0.338490006,3.12E-05,-0.201339753,0.033068336
PNPO,-0.34291397,0.005824729,-0.374506105,0.001892584,-0.449677504,0.001282586
DHX57,-0.336180995,0.049192802,-0.37497834,2.38E-06,-0.202841609,0.024134686
PCNX2,-0.329443884,0.026331408,-0.396368394,0.009872158,-0.537416815,0.001380295
MECR,-0.327636277,0.020867839,-0.34965447,0.001181432,-0.431360949,0.000320533
