"","lfc","q"
"ATF4",0.466672192,8.76e-05
"LRP4",0.773098202,0.000127529
"PXDC1",0.907236726,1.63e-05
"MXI1",0.409403837,0.000460856
"PAPOLA",0.293756726,0.003546039
"GKAP1",0.413436292,0.001706056
"PDE4DIP",0.288828022,0.006534325
"SMAD4",0.225480466,0.017171483
"TSC22D3",0.448935769,0.000391497
"ID3",0.983824196,6.7e-05
"LATS2",0.797020506,5.96e-05
"CARD8",0.439901851,0.002094774
"BANP",0.545695194,3.49e-07
"TIMELESS",0.606371095,0.000220663
"SH2D4A",0.695953993,0.000693397
"CALML4",0.568487951,0.000987373
"ITGB8",0.403646691,0.031258716
"CDK2AP1",0.45330145,7.84e-05
"RBM48",0.361840962,0.004490441
"ITGB5",0.691190774,3.99e-06
"GMPR",0.786449084,0.00254075
"RNASEH2C",0.464734925,3.59e-05
"BCAR3",0.552005155,0.000308194
"CEP152",0.431814019,0.003210595
"ANAPC16",0.52189831,3.35e-06
"TP53I3",0.58261019,0.000247631
"SASH1",0.591845172,4.59e-05
"ZNF69",0.497384995,0.000680793
"DNAJB6",0.24864914,0.020848638
"KIAA1958",0.472111244,0.003039265
"POGK",0.294147249,0.006605162
"ARL6IP6",0.356910984,0.003552028
"WEE1",0.54656698,0.03316219
"HSPB2",0.696172821,8.2e-06
"IL17RB",0.979769723,2.97e-08
"CDKN2C",0.853218155,4.56e-06
"SLC39A11",0.647153796,4.52e-05
"NYNRIN",0.520781524,0.000251508
"STARD10",0.713358462,5.91e-08
"SNRNP48",0.36327186,0.002521204
"MEX3A",0.913084104,3.37e-06
"FZD9",0.952769801,5.46e-07
"ANO2",0.988135823,9.19e-06
"ITGA11",0.313333407,0.033537486
"RND2",0.288784537,0.008871189
"KANK2",0.899290792,1.56e-05
"NFKBIA",0.837548219,3.83e-07
"RFTN2",0.669027903,0.001574622
"PROC",0.520294714,0.001240891
"TLR5",1.199053483,2.53e-07
"TRIP10",1.287689749,2.22e-08
"CPQ",0.680233791,0.000111285
"JMJD6",0.940090171,1.28e-08
"SAMHD1",0.466897206,0.000170844
"ATOH8",1.166916505,6.86e-06
"SPDYA",0.309251726,0.024985937
"RGCC",0.678154755,0.001917962
"GYS2",0.50699772,0.017812133
"DNA2",0.511391746,0.00160019
"PRRG4",1.048417967,3.98e-05
"RAMP2-AS1",0.563967188,0.005487436
"AJUBA",0.868771082,0.000149
"CCDC160",0.607268398,0.000322548
"SLC25A48",1.037831126,5.53e-06
"SPACA6P-AS",1.085561529,4.65e-07
"RCC1",0.968294135,1.9e-09
"CCDC102A",1.30692214,7.79e-09
"C21orf62",0.900118907,0.005133579
"CCDC151",0.887774692,2.15e-07
"DDIT4",1.438503518,5.3e-09
"ITGA10",1.308607102,2.42e-08
"ANKRD37",0.745831859,4.28e-05
"COL8A2",0.791027491,0.0221
"REP15",1.045190259,0.000206903
"NUPR1",1.465389186,6.35e-07
"FZD7",0.732812873,0.000356985
"TLDC2",0.626273792,0.001285576
"FKBP5",0.922183744,0.000474
"SLC38A2",0.687146882,3.45e-05
"CLDN7",1.598847032,8.87e-07
"PRKX",1.015745086,0.000102
"SLC5A3",0.727836632,8.18e-05
"CCNA2",0.680712277,0.000412154
"C6orf118",1.076941054,6.95e-05
"SPINT1",0.541654883,0.0102
"SMTN",1.367306275,8.4e-08
"SAMD11",1.330169837,6.71e-05
"KLF15",1.024877341,4.68e-06
"HIF3A",1.208783882,1.15e-05
"ALOX15B",0.853720699,0.001285747
"LOC101927354",1.379964553,3.49e-07
"CYP39A1",0.711299695,0.00073377
"LINC01108",3.965106705,9.24e-08
"SCGN",0.63383076,0.010693068
"LMNTD2",1.33275451,3.63e-08
"LBX2",1.633751813,7.77e-05
"GNRH1",0.666856714,7.01e-05
"S100A4",1.269909517,0.000139
"ADAMTS2",0.676518521,0.001048431
"AKR1C2",0.809051044,0.000345
"LCN6",1.430631401,0.000303
"AZGP1",1.19058713,0.000992249
"SLC23A3",1.062606448,7.38e-05
"OLAH",1.034704781,0.001136881
"CXCR2",1.25166591,0.00676
"SH2D3A",0.986840807,0.00169
"CXCR1",1.579222601,0.003660618
"SERPINA5",1.383123772,0.00264
"LINC01134",1.334346314,6.89e-07
"LINC00463",1.027328679,0.001368844
"LINC01068",1.80654619,0.000123
"CYP4B1",1.126424722,0.004580488
"MIA",2.074317976,1.16e-05
"NPC1L1",2.17485425,3.62e-06
