"","lfc","p-adjusted"
"LRP4","0.522661277",0.033263377
"PXDC1","0.529730905",0.046734879
"MXI1","0.531556029",0.016220157
"PAPOLA","0.537819524",0.039503398
"GKAP1","0.539282845",0.001956671
"PDE4DIP","0.539336192",0.002320106
"SMAD4","0.54382128",0.000353645
"TSC22D3","0.543924248",0.001088141
"ID3","0.55235999",0.039581153
"LATS2","0.553137106",0.04712605
"CARD8","0.553401891",0.007274465
"BANP","0.56221448",0.03270617
"TIMELESS","0.562978494",0.005778023
"SH2D4A","0.563788215",0.020150915
"CALML4","0.564173443",0.02586332
"ITGB8","0.566340457",0.031716487
"CDK2AP1","0.574371238",0.006442266
"RBM48","0.578440503",0.00029793
"ITGB5","0.587265853",0.023403117
"GMPR","0.60182866",0.027221455
"RNASEH2C","0.601849112",0.000129808
"BCAR3","0.603885032",0.028388319
"CEP152","0.604213611",0.0166428
"ANAPC16","0.612003902",1.07e-05
"TP53I3","0.619684775",0.009662326
"SASH1","0.620986264",0.005096086
"ZNF69","0.628230731",0.023023893
"DNAJB6","0.634239368",0.016727649
"KIAA1958","0.645619169",0.001210306
"POGK","0.65522284",0.000601473
"ARL6IP6","0.657660679",0.00015988
"WEE1","0.659011816",0.009252569
"HSPB2","0.66267479",0.019718981
"IL17RB","0.666996294",0.015192028
"CDKN2C","0.67587655",0.001754334
"SLC39A11","0.680538634",0.002619024
"NYNRIN","0.681251993",0.038264763
"STARD10","0.693833852",8.54e-05
"SNRNP48","0.70207326",0.000382625
"MEX3A","0.702164218",0.046078916
"FZD9","0.705844201",0.010454815
"ANO2","0.709771674",0.037039547
"ITGA11","0.716717195",0.028405564
"RND2","0.721008428",0.008564862
"KANK2","0.72852512",0.009157275
"NFKBIA","0.738205778",1.65e-06
"RFTN2","0.743601748",0.015192028
"PROC","0.744423444",0.004624905
"TLR5","0.767060694",0.049006271
"TRIP10","0.771567542",0.021467969
"CPQ","0.774476497",0.005920704
"JMJD6","0.778115627",0.025948828
"SAMHD1","0.786722089",0.007041647
"ATOH8","0.796569436",0.007495396
"SPDYA","0.829019228",0.011766242
"RGCC","0.830083464",0.000235945
"GYS2","0.844233736",0.024569875
"DNA2","0.84885943",0.000229148
"PRRG4","0.85853285",0.029065548
"RAMP2-AS1","0.860050603",0.000376499
"AJUBA","0.883917466",0.007062105
"CCDC160","0.890312916",0.016747344
"SLC25A48","0.904229383",0.004102591
"SPACA6P-AS","0.906594166",0.00523004
"RCC1","0.917985979",0.002206405
"CCDC102A","0.920456173",0.006655903
"C21orf62","0.92798451",0.001309161
"CCDC151","0.948929215",0.023855206
"DDIT4","0.959856744",0.003264761
"ITGA10","0.968496311",0.011954756
"ANKRD37","0.981394909",0.029385944
"COL8A2","0.991262532",0.013268988
"REP15","0.998108449",0.027717133
"NUPR1","0.999461942",0.019373056
"FZD7","1.005361803",0.047918045
"TLDC2","1.009321825",0.012238184
"FKBP5","1.016800838",0.001174722
"SLC38A2","1.023618428",3.93e-06
"CLDN7","1.05061788",0.033798661
"PRKX","1.075447373",1.34e-06
"SLC5A3","1.096805801",0.006027346
"CCNA2","1.107800317",0.000376499
"C6orf118","1.113486773",0.0002509
"SPINT1","1.117222338",0.038359526
"SMTN","1.140341675",0.01035419
"SAMD11","1.156753657",0.020117457
"KLF15","1.179022978",3.16e-12
"HIF3A","1.209694413",0.002531002
"ALOX15B","1.224726896",0.015535826
"LOC101927354","1.239386542",0.017078381
"CYP39A1","1.263379332",0.005032485
